plan_rows,exe_times
2586669,1451.867
17415,9554.249
500,10627.888
1243737,6435.912
382686,9370.953
37,1384.846
667547,13963.061
3112075,26277.589
4756903,31199.463
75248,1471.758
1631657,45673.702
19349156,56502.762
43957294,109265.431
8824508,10752.165
573138,731.368
246,1249.082
934,3921.936
240361,35649.930
15902,1230.595
246,1367.256
7993544,61843.790
146542,933.922
1644337,14487.550
1622098,1609.954
298821,1162.509
1905290,7406.531
755283,5595.397
341921,4533.029
230159,18199.094
95,3016.879
1767826,6653.513
941725,6220.990
1596838,23764.728
2262288,7607.905
993789,5995.499
301205,6078.050
91388,9746.584
8044409,11975.622
60097,1187.807
117,8184.980
18,1909.860
639568,11874.813
482472,4734.071
987727,1291.126
6671409,23051.235
83564106,166634.895
33606471,43545.163
2552097,15193.868
4838,14173.577
77746,2490.050
10467492,28111.631
28663371,17201.901
336354,3060.867
723829,5600.150
27653425,15223.352
576504,1398.189
112849,22235.141
5395356,47964.969
30373050,47690.551
604627,28532.221
500,28733.361
617285,2402.556
28310039,38522.564
246,3398.403
78884,5145.238
903208,3134.688
665910,9945.398
1193208,3504.816
1253241,56525.071
379157,18564.283
3049094,1899.373
2211206,26111.751
997553,1370.633
9563560,36492.787
80888,7234.967
539088,3125.299
3812860,2157.771
674625,8450.002
315281,12104.549
37380378,34215.575
2388098,446.323
246,502.911
2808521,3615.387
2378884,7221.887
8573710,18439.624
1145777,9730.121
30298,11211.887
2497873,7370.870
391504,9452.176
104,976.921
274038,6037.356
23965853,19542.873
11558648,48319.781
47645,17574.196
3203,3431.233
27872,10927.196
8035735,16641.039
126312,19512.832
2402539,926.025
420,14457.961
560661,1147.176
27660,4244.709
276,13085.798
3008603,18914.910
21182,1239.927
6365,2624.079
2123723,28203.538
20621,2024.458
117623,4771.666
629603,1448.279
2313188,9011.200
3295618,1903.564
5729,7733.634
625300,1593.097
104,6447.881
13298814,13614.183
14551,12098.834
91628,17724.475
890128,5369.785
837122,5746.131
1732471,26884.655
461926,4933.793
25445,4423.162
405066,11224.304
674975,1218.595
809229,434.340
8190207,53384.437
5828294,42492.417
60,12420.515
3068194,15171.548
3406,7602.799
5716824,21624.016
2391495,519.268
3117053,20751.139
22805710,91407.142
284375,3815.881
2903636,23381.841
1272478,4323.023
35758,4863.246
246,1483.810
1424026,3862.615
3460716,1970.399
17937,4808.858
9454060,41964.742
2232151,25767.443
1032971,18512.360
3380192,21918.498
937288,25527.189
53922,3338.342
181406,27533.320
258,1545.967
352,3721.253
2073893,12498.444
246,1504.202
1424795,27334.642
2984588,7413.373
246,611.780
101244,1252.546
35379,1129.048
246,1422.346
35,14180.029
407655,8404.881
4901994,22751.785
2368906,16097.283
1158179,11125.954
287571,4829.242
3814920,28875.743
2007293,16322.131
333,7341.741
610733,18231.678
3839,437.035
9468168,14561.974
1172058,1800.661
8656382,17164.601
101,12557.804
6506128,64237.190
809669,5957.520
26736,1731.310
9293409,7758.489
289994,15148.685
118841,412.210
1662202,13979.313
5445713,6336.066
4972096,7508.235
815362,22478.400
1025156,1474.461
121683,10870.283
889017,1308.307
158865,9964.342
224,14984.155
47569,3540.771
14075,1443.857
128119,4177.848
216021,26646.400
24831,14948.151
246080,16011.603
5,3023.304
10187,10049.162
8508011,7451.499
5219659,52760.834
9476311,24055.161
408,11674.204
6603589,12224.811
48847205,122347.247
168,5207.650
23631383,57438.070
324,14300.845
373706,34513.935
11005107,58341.064
8105517,46814.834
2102,11990.464
1194317,3664.921
16934,4227.466
47,6912.796
155337,10679.774
215372,4970.637
65,1547.649
1486044,33268.891
61,7652.463
31554923,19118.132
353995,10900.273
6049008,32392.090
901783,5440.688
937,15662.969
314319,14968.375
1598355,13794.857
14,2757.471
2072163,51640.894
423250,13648.036
214025,1067.393
5895224,21773.270
3883503,42467.037
123318,5135.306
121275,1022.726
297494,4429.644
3349413,27038.122
4750423,31082.371
539726,1245.313
12726058,39463.504
1348138,10941.943
2416485,21327.288
4046,2491.385
17107353,46284.967
3524,14928.750
34503,4755.760
465663,1542.495
385599,31160.242
1708938,1115.308
11211773,29203.637
1227810,9522.376
54808,6001.738
47757,40861.557
5691304,26709.129
1554081,6127.723
292463,35152.065
4341954,24282.370
3250631,1977.675
104,995.808
420192,5797.668
18030850,53082.047
1954924,9803.897
13662004,120246.146
301797,2959.191
3164203,24699.603
2513836,1096.081
121596,8455.805
4597,10093.584
1178,1679.686
5199488,19301.457
4374890,16620.205
3359679,27950.715
417014,5198.673
1030978,5135.986
1520083,1791.792
28668949,64653.108
767314,1019.587
4134021,29664.182
8,571.757
9723893,24043.961
806913,1643.622
133417,4135.785
116524,5114.258
649890,5211.142
482989,5929.268
106548,22182.912
205693,25648.527
2830486,722.944
1968267,9341.589
7437,377.442
1452,3971.427
527659,17647.239
16069359,29776.161
4259,13054.287
490954,27857.220
530,1361.763
9336,3248.750
23792931,84084.823
560,8128.155
5111925,30976.983
24445,1972.226
603807,878.085
8230321,26495.062
97263003,116083.728
1797951,888.727
89932,2036.997
246,1143.339
9097037,19810.759
2493390,15473.574
905162,9711.977
544569,16117.611
2065330,1376.477
2232976,25655.197
46224,1399.665
37556,3741.930
1541234,1268.131
5448678,26884.448
7503588,4408.141
4543,9592.688
15126,11823.259
1194328,7046.302
1329612,6693.950
381979,1590.038
2358186,2043.254
2272825,1061.746
1211976,7323.167
246,5529.839
4083280,1872.725
2102657,1120.966
27973961,53108.902
73215,5396.928
1826913,6271.823
219633,11507.684
245083,11479.238
19,2939.432
53,505.572
1882534,1778.242
14863935,103575.947
161,410.167
6444085,51645.916
2545699,1258.580
46946,643.211
13855747,12816.761
150741,1582.435
2988,2263.364
7298253,15579.504
1101,9620.391
25171,13628.533
1823531,31471.749
157185,9892.387
1345854,14264.350
291900,3518.112
1592630,1201.289
1362,14722.225
7503588,23229.154
2539590,1906.874
181,1371.703
1810779,705.796
5157574,31349.489
3581292,23289.990
831,10229.256
323706,3281.566
77,813.923
152279,5964.860
12545135,6086.317
18944525,49108.510
15181896,62174.146
45024,4779.426
4835645,8881.698
489874,7994.783
16201301,39834.984
496600,3454.253
288,4252.575
53,675.619
96149,21978.260
5364,5036.478
1539342,7795.308
1194317,7084.003
5897221,5797.263
240831,9216.452
374779,3947.578
8099763,40499.175
1356,2123.788
246,1485.724
1103983,1147.810
5334246,32193.356
14150933,48394.627
59933,18259.436
53,829.265
74068,2556.958
2474,1695.373
889849,1249.230
4100993,17464.863
789769,1192.847
24022411,16889.093
1417154,18559.355
7172328,14147.130
6764,1674.376
246,959.181
787930,1258.601
246,1585.032
1737424,1844.869
175976,15524.573
16711876,64333.443
246,709.444
828,7982.089
231837,1319.687
1015682,5980.770
1116256,6300.215
3193696,2228.189
751536,10630.014
3277346,27473.956
1668365,6277.826
500,10037.264
250365,7104.250
30189,2530.916
628627,1675.326
324,16581.626
1209003,6006.956
6056832,38314.508
246,1363.911
49975365,100446.534
895,13459.890
246,1565.944
4222,1575.054
860373,378.708
1138247,1466.967
323,3072.035
863513,1612.301
4824640,33900.874
1446955,24394.443
479375,24967.969
4148,1171.930
55751,2008.446
664284,9022.275
1693323,34557.003
895891,995.061
535251,4159.371
22136,1558.149
471955,6107.627
111,12446.742
3474679,8989.105
959869,680.972
932272,8520.079
366,12528.465
5653259,11932.618
51,1028.126
12263,971.232
1722654,1688.557
2174063,18097.302
224,10851.357
1863534,6230.408
2766936,59607.154
1586,1158.663
164444,6406.731
7498700,39827.943
3068701,44090.798
12842601,9090.977
696671,994.731
533007,3613.290
1111681,4805.139
109461,3023.154
23608458,123894.913
120,6098.366
980733,503.740
4121097,718.828
3605184,9860.132
500,3856.390
55217,3355.555
104,274.804
1642836,1150.532
147611,14249.170
14489202,44908.498
263784,3088.829
208920,1003.756
8799387,20001.056
246,480.623
246,923.751
3207288,1659.692
1288441,32765.176
2756732,5992.819
246,977.406
450064,8655.289
674303,6106.279
533713,4952.752
4373499,1402.824
882830,1246.088
41619,13093.434
19143,17571.393
1413818,1562.146
46,11990.764
7971,8069.267
9077,16068.965
579,5508.644
3270,6865.039
688810,4581.462
50683058,103141.914
8981529,7796.565
179928,4888.131
500,3897.788
426619,1803.408
392942,3130.566
113796,2829.349
729468,1064.578
338850,3997.708
4312777,1771.168
2792627,12477.636
12726058,13236.071
1440032,19574.630
612659,17058.567
104,758.639
74181894,128974.704
1258543,445.702
85350,475.474
947576,462.402
311009,375.291
47702578,27168.796
63171,1536.213
689569,14299.527
390234,12353.774
977436,1104.682
246,1176.204
1236761,1214.293
2473045,1631.825
21145,1715.140
832012,1280.079
498009,4370.544
8613906,49198.046
7828701,22256.199
73531,2710.482
4059,900.160
688344,505.579
3430085,16800.841
116,482.804
11443,8298.802
52379,18768.670
165725,13713.242
11109054,33243.037
53,717.311
35,6960.665
41541,2469.795
6840,2264.876
758052,1196.072
1604587,7021.012
2286257,1640.112
2687102,33623.410
20348,1732.803
51773,13137.992
243142,2274.465
118141,6123.158
1719403,6359.085
31356367,59650.393
29582867,46693.738
97791,5119.356
4654607,16321.767
1236493,6558.729
623820,2454.391
1232389,9756.496
90563,1296.300
174,13093.319
781568,16610.983
246,1185.653
19,1207.132
561633,12356.117
19913,803.814
246,861.741
3176101,7626.508
40,16336.924
500,9247.225
60940,3968.382
9028,3168.195
500,7818.712
337374,7580.019
51158,1598.718
764753,30402.792
10221,7353.076
334235,3117.212
3763,1449.099
2043195,5928.791
3961078,18596.178
871181,656.252
1,1341.007
358211,4186.296
2893225,36139.613
11364226,11469.852
500,6766.659
49436,570.491
8832,1940.336
1742,8956.191
17881966,23126.583
372171,3135.652
3974433,8749.506
667531,1108.479
1283854,5485.511
57,1312.568
1008037,1002.515
258946,7933.558
2438193,29546.762
291643,8728.028
2417800,12188.252
1393612,6055.594
822269,20313.976
5820177,20702.875
224399,4905.730
624572,492.100
712732,2459.674
1622192,17127.609
448369,9346.550
35090,2107.508
1434,6542.204
254,1960.362
973225,806.080
6670160,28090.105
6905751,9624.320
1573,8803.153
15089939,78739.872
538029,12753.536
1531353,377.801
8702967,21247.346
6912506,12474.531
1498,673.288
8841901,7431.772
54816,833.743
3763,2202.259
3200208,43405.509
394438,3629.517
35287,742.229
18528854,9644.869
1070944,6343.174
76962,2663.390
786890,4402.359
9037144,26466.535
510149,8403.895
1020,6864.342
8017601,20499.063
89,796.811
2003171,631.177
2269325,639.378
784140,27298.132
103725,688.596
2,9474.265
213100,13284.754
6733381,62101.703
2839901,9236.913
43351,2856.084
945315,5933.558
12651826,47617.854
12977925,13956.316
1637259,5551.759
272159,7432.766
3072388,11446.988
730432,5054.036
269207,5120.235
243062,3972.730
21725,992.577
11148431,75000.397
675480,4299.823
64367,383.313
13730700,18443.441
33286,351.957
1778,6265.434
3182692,650.846
3329613,6983.593
153077,5517.009
1841620,993.222
246,869.114
30744,5343.270
1145237,18768.368
246,555.912
2048,8869.612
460804,21201.046
51,600.577
525670,4871.902
239230,3852.153
3077813,23516.533
158161,2276.778
380,577.739
25318231,65809.634
308237,9868.864
402,806.063
4588,5370.044
176,8344.821
1210334,1050.431
2345151,47131.296
180073,4565.446
2412030,29916.668
12157,5963.427
1463082,49721.591
1049672,34867.823
21676509,90556.974
22,1250.996
908953,1240.573
75496,7152.850
26418,8502.157
831329,10481.916
10798228,17375.046
1149892,1489.118
246,1177.637
983296,1301.773
572,16378.076
410663,20139.946
648427,3279.913
3261778,2067.306
1011338,1379.009
9100,2855.255
54555,7380.801
33845,10363.155
273,11292.699
2025519,1512.874
489993,4728.373
1,15222.563
500,11043.156
19038644,14992.469
1224,17110.470
118193,3188.417
758609,14986.473
382,14420.499
182,12445.979
4065321,2124.545
12203201,14987.502
3524,17145.411
1149559,12480.032
575294,7997.402
246,919.315
288123,9663.603
1924941,15547.913
102118,4907.786
7437,981.094
10103,1404.683
124,2531.492
9872532,29238.833
16387245,31989.324
719406,1179.741
2795959,30891.539
30,809.942
246,1289.298
2958771,6998.559
831840,7953.127
809669,8789.244
293533,3576.416
2011435,33698.097
13563337,13179.843
535740,19217.015
4361137,2247.797
265,16167.146
107,19780.363
246,1269.488
2931582,33562.603
246,1295.662
32092,7684.272
28123,17773.208
1,818.316
1337326,8850.086
29589497,51176.155
1135687,1625.468
34062,6537.590
4328897,7472.041
1873600,31140.065
157707,9645.513
1860458,29369.035
212004,5675.481
86349,24436.266
52591,16645.447
2521,6691.238
849220,3981.386
246,1136.559
46148,11253.748
6545285,34325.791
2010348,1191.250
51004,3357.316
11134695,80943.399
135058,8939.735
365994,9261.589
1504,7142.990
35,1777.802
2899303,35247.354
383217,8086.595
1840919,13961.365
3595849,21736.683
6696,6380.469
61363,15144.943
27612296,15840.611
1065855,1287.853
112996,4162.859
21666,21214.965
11530771,74752.923
68754,9961.408
904579,1313.237
1322890,17639.093
484205,6684.979
922678,9398.393
2198843,30352.222
80419,8547.031
30601,1969.455
324,14396.167
11607846,38291.679
77,436.316
1695302,18343.999
4129420,12197.699
430383,20513.378
2748177,1903.122
5512985,34160.408
246,1293.829
1466983,18893.176
1159959,1261.879
17937,6214.473
1576956,1635.436
86208,11927.631
994870,1099.536
88,1234.867
596371,7392.642
13347026,59208.260
219052,3109.840
21934,7060.197
1521649,4537.204
7194004,25963.419
919057,3410.747
412,2432.792
1573605,1654.609
1653639,11572.653
55313,1168.483
11571012,20383.157
58867,3692.338
6322325,17205.428
590134,20965.169
113109,1036.813
848707,3410.025
53,777.788
96000,1007.276
2660835,1807.977
277298,10770.671
713437,5256.287
10665,2726.241
418025,10619.497
5439056,31089.380
852293,1499.721
1876491,30944.767
28755429,64615.913
186,2521.420
22873,1946.606
5611,3278.248
822473,1195.331
246,1373.189
316345,18253.915
32092,9687.263
539454,11707.293
21145,8801.145
2507772,1634.355
12726058,29572.794
16899253,14364.693
516,12660.254
41017,3508.086
12,8044.042
143431,20120.779
37618,1946.273
246,1286.966
64604709,97157.684
708654,3484.846
106548,19144.938
775002,12164.923
253587,4990.350
2905,1012.751
2504821,1742.351
4605697,29851.450
831181,8266.508
399775,12928.932
826719,13826.185
133,2601.097
5995230,61517.681
852012,5636.443
182360,842.865
2257102,15607.708
698343,6542.011
246,1185.408
325127,4550.757
23499554,16936.555
1136413,24044.550
449094,14339.208
19370,1262.107
166078,2458.137
113719,3091.925
10801882,41542.226
56686,2692.346
1,1343.234
4201645,13234.247
3983360,8009.205
100996,10061.862
151540,3567.246
135764880,149075.297
8859586,16859.836
325948,20147.429
3756921,7518.254
1,2138.371
2252948,1711.023
559597,12591.146
62072,9360.854
5395,2598.492
7674,2325.286
1108085,1560.375
22725,3138.075
5764862,77743.866
14,1221.390
1600031,1527.521
2625,21012.151
109505,3052.465
20078151,14191.262
70105,3887.941
51,830.928
27012,21321.105
606,7889.182
13840427,74314.381
554,18009.812
420,14937.711
19250653,19203.888
19987,2886.700
16,1245.675
4559,6296.516
246,1246.473
1943228,1244.713
652656,9397.075
500,10876.010
15689,8828.058
317895,5898.792
450872,12381.197
39060,1382.427
148676,18893.317
115602,2171.586
810685,13471.787
1297408,1553.155
9393,3094.962
236157,2586.367
2282032,1839.367
1684,927.905
5,1408.320
4097872,1979.029
3193696,6762.166
715483,16257.344
343002,10149.269
933344,10530.127
340474,5539.904
1077434,4695.740
19049039,49865.213
320654,7260.029
246,1421.234
2083735,20685.938
1142413,31985.266
30298,11791.776
370205,4149.247
87739,2407.303
1187207,8127.042
53,896.359
503308,20784.223
1081931,11645.685
9820,4212.833
425543,1460.148
45,2445.303
14505528,14025.447
171,1604.806
148,7755.345
1835879,1514.618
246,964.603
5307166,18389.756
22258220,43256.518
164990,1271.243
956039,20357.961
3008339,7023.996
9530,20432.132
6604323,40950.831
125163,10687.099
2645971,1734.807
246,1283.388
160730,1040.777
219383,10164.187
5010,3453.084
3313105,26586.934
18536027,42374.650
22396456,56599.359
1290626,1611.781
6,2180.659
11950,8070.161
40766,2213.386
195981,9204.804
264302,18702.037
606,8471.086
2142,2794.767
1137541,4598.528
39975,2682.394
1266397,13082.100
66,1403.783
1891534,1720.569
568135,1355.745
6454973,20408.277
278539,970.493
17697179,50588.692
43753279,90584.045
2532773,6189.048
44808,3127.896
734553,1462.589
26998,20140.466
837461,17670.873
28767279,17807.648
138397,10029.808
542419,1005.210
246,1328.795
141,2731.195
662507,1278.088
62330,4280.712
246,1248.756
6153714,31023.101
15879038,69646.371
926856,8168.916
1752438,1123.397
7801917,45571.265
193682,6745.431
14188,7229.311
246,1230.016
10622704,48301.072
91417,17374.979
246,1196.017
5453882,16166.431
53,803.854
1272478,7439.663
9778388,31202.707
21531,7306.037
9737438,47504.101
350505,3203.693
313810,5361.414
1077339,1394.260
794435,18973.296
229871,2599.743
2118296,746.619
1589916,5017.630
2929236,32777.158
442235,16880.712
246,1335.880
104200,2999.932
14065,3200.004
35046605,69735.014
637,2698.823
482133,14991.123
2579712,1909.545
65982,5091.215
246,1289.270
237882,5846.223
2245189,12258.666
57014,7390.111
3598131,32148.266
9006,1973.046
11443,8530.090
1004304,5135.483
686859,7547.366
246,1381.569
2,6010.537
388778,8053.233
68995,3938.276
2795609,1958.089
1349307,9912.469
1434,8109.691
36327,1168.384
2092,8825.276
66495,2191.549
1039549,20322.265
109,13965.210
54013,4148.453
1,1923.227
13,999.758
138847,3846.397
156,17526.598
1284538,6430.201
778687,983.364
1107781,3754.001
192,18474.546
5,1841.802
201,1343.756
851121,16025.751
146112,2996.762
246,1221.038
8829227,36811.167
2032147,29618.284
19049039,50153.966
38,1523.526
1245630,1628.360
1872,16829.907
324,14559.558
8607047,38489.086
14780,1914.360
69508,2058.590
1282362,1470.243
375204,9612.762
5197,2945.651
4353,2929.870
1513760,20254.689
31748593,64149.565
51831,3393.717
432378,1165.701
3820147,2114.115
479,917.095
782216,4403.554
19784,15398.715
502585,24026.042
973552,6630.240
29377411,51025.322
3921,1211.562
9491582,35296.805
2501746,14292.754
204460,1430.161
6032,1203.163
4379440,17825.182
1550064,8573.652
406559,30051.224
3180419,6615.136
14141336,30036.734
91123,4534.249
3216866,6762.401
1107821,6006.032
299,2566.093
19,19341.941
72908,2482.276
11542389,40817.541
438631,13095.724
164776,1015.440
796927,974.546
652,17213.808
702952,4494.061
161,10911.769
1674525,1548.460
7493554,11780.426
605538,3059.323
616205,21007.856
292523,7870.483
871019,9191.200
1065108,4324.097
7298253,22275.906
158,1712.511
736,16024.641
143143,4777.020
10736113,47678.784
3524,16952.606
360987,3725.525
